companycode,totaloperateexp,reportdate,financeexp,incometax,commreve_commexp,intnreve_tb,tystz,yltz,sumprofit,operateexp,parentnetprofit,operateexp_tb,mkt,indemnityexp,surrenderpremium,sjltz,noticedate,premiumearned,combinetypecode,reporttimetypecode,operateprofit,sjlktz,operatemanageexp,hycode,yyzc,premiumearned_tb,intreve_intexp,eutime,commnreve_tb,operatetax,manageexp,investincome,saleexp,kcfjcxsyjlr,totaloperatereve,totaloperateexp_tb,scode,commnreve,publishname,sname,dataajusttype,intnreve,operatereve
80474376,2836882902.88,2019-12-31T00:00:00,58407642.84,76211048.65,-,-,0.427754,1.220159,460048958.36,1803979776.55,354312359.11,0.243961027944169,shzb,-,-,0.320111,2020-04-16T00:00:00,-,001,001,463541393.84,1.365898964,-,016041,1803979776.55,-,-,2020/4/15 18:42:32,-,31231910.87,186163379.93,-,586037229.02,346629624.07,3306617441.62,0.35040438036426,603916,-,化工行业,苏博特,2,-,-
80201108,460143984.59,2019-12-31T00:00:00,-22096041.82,33232849.2,-,-,0.254016,0.137402,222867267.47,369897077.04,189686002.12,0.345836260451184,cyb,-,-,0.144972,2020-04-16T00:00:00,-,001,001,221569173.8,0.1956279794,-,016022,369897077.04,-,-,2020/4/15 19:06:09,-,4752917.52,41663845.31,-,28749082.39,182561463.81,673997139.35,0.297477130450973,300623,-,电子元件,捷捷微电,2,-,-
80084628,3429607818.8,2019-12-31T00:00:00,117804224.78,14084772.75,-,-,-0.366962,-4.593011,-555134531.85,2782608852.44,-425175246.45,-0.356650286584795,zxb,-,-,-42.040931,2020-04-16T00:00:00,-,001,001,-568138937.43,-4.235121311,-,016026,2782608852.44,-,-,2020/4/15 20:44:04,-,23867879.38,392498899.45,-,91977871.67,-479398941.43,2982034952.03,-0.286182402290641,002172,-,化纤行业,澳洋健康,2,-,-
80373613,453625356.26,2019-12-31T00:00:00,-12446402.74,13864919.59,-,-,0.27742,0.654191,163373481.92,330290605.38,149840625.28,0.19803447350382,,-,-,0.640411,2020-04-16T00:00:00,-,001,001,163369937.64,0.4776990616,-,,330290605.38,-,-,2020/4/15 19:16:04,-,2417203.8,47622332.7,-,31671847.89,131980651.51,596622687.25,0.164335248112598,688588,-,,凌志软件,2,-,-
80463375,349804715.9,2019-12-31T00:00:00,-7168479.79,4180900.36,-,-,0.086619,-0.039161,37833889.1,284179572.61,33779997.84,0.0847861524774552,cyb,-,-,-0.056323,2020-04-16T00:00:00,-,001,001,37807715.61,-0.056849909,-,016020,284179572.61,-,-,2020/4/15 21:18:10,-,2385399.1,23728205.37,-,27512738.77,31699662.06,386148084.92,0.123295816754008,300670,-,输配电气,大烨智能,2,-,-
80329960,1206236594.89,2019-12-31T00:00:00,15467380.05,-513408.08,-,-,0.161299,-0.881201,4507120.65,996043778.31,5951415.28,0.235639361337158,shzb,-,-,-0.869087,2020-04-16T00:00:00,-,001,001,6002883.14,-0.8967427013,-,016012,996043778.31,-,-,2020/4/15 16:58:32,-,12854580.67,87779710.08,-,76105967.01,4121915.14,1209814314.35,0.217284628400151,603536,-,食品饮料,惠发食品,2,-,-
80198708,5975949304.38,2019-12-31T00:00:00,47705351.05,60223744.19,-,-,-0.048522,0.10049,498826513.42,5113534422.45,436682441.95,-0.0654474640550035,cyb,-,-,0.119181,2020-04-16T00:00:00,-,001,001,499537296.57,6.3888776888,-,016032,5113534422.45,-,-,2020/4/15 20:10:33,-,36851844.98,185083128.45,-,325230709.32,382166254.21,6426889811.08,-0.056403901584242,300428,-,有色金属,四通新材,2,-,-
80018831,2370888965.07,2019-12-31T00:00:00,51457395.55,157989887.67,-,-,0.111105,-0.276321,611861432.7,1674792523.91,450709531.58,0.216209589509488,zxb,-,-,-0.344185,2020-04-16T00:00:00,-,001,001,580789355.36,-0.3941734067,-,016012,1674792523.91,-,-,2020/4/15 19:26:00,-,20886228.91,282237976.99,-,275705033.43,392910787.8,3191784933.45,0.247756609987573,002626,-,食品饮料,金达威,2,-,-
80490044,2606367504.98,2019-12-31T00:00:00,-8365108.04,51157747.94,-,-,0.217487,0.195634,380590412.53,1820753839.79,329432664.59,0.168507274158869,shzb,-,-,0.207163,2020-04-16T00:00:00,-,001,001,384797731.66,0.12532734,-,016030,1820753839.79,-,-,2020/4/15 20:16:57,-,28878108.25,168040853.68,-,462636866.77,285244579.12,2962140003.07,0.223542599204472,603801,-,木业家具,志邦家居,2,-,-
80195268,1155510236.71,2019-12-31T00:00:00,-13092440.37,74282707.75,-,-,0.202424,0.200074,534295577.23,782854847.73,460012869.48,0.153197251671775,zxb,-,-,0.218496,2020-04-16T00:00:00,-,001,001,534758623.76,0.2331140529,-,016019,782854847.73,-,-,2020/4/15 21:18:10,-,12378705.65,65784440.98,-,256658480.56,455340455.91,1684475726.55,0.195945593185612,002677,-,家电行业,浙江美大,2,-,-
80329883,1429962897.86,2019-12-31T00:00:00,8370855.79,-248461.23,-,-,-0.143564,0.424481,29300569.01,1314343127.09,29345234.09,-0.137685394709542,cyb,-,-,0.860112,2020-04-16T00:00:00,-,001,001,29029044.49,0.6590049663,-,016014,1314343127.09,-,-,2020/4/15 15:55:23,-,1365508.98,30193623.95,-,51647913.36,24723319.52,1450109005.36,-0.136439837311947,300493,-,电子信息,润欣科技,2,-,-
